student;vak;activiteit;zaal;dag;tijdslot
Poepjes Zahir;Software engineering Practica 2;Practica;C1.112;di;9-11
Poepjes Zahir;Kansrekenen 2 Hoorcollege 2;Hoorcollege;C0.110;ma;15-17
Poepjes Zahir;Software engineering Werkcollege 1;Werkcollege;A1.10;wo;11-13
Poepjes Zahir;Netwerken en systeembeveiliging Practica 3;Practica;A1.06;ma;13-15
Poepjes Zahir;Software engineering Hoorcollege 1;Hoorcollege;C1.112;di;11-13
Poepjes Zahir;Kansrekenen 2 Hoorcollege 1;Hoorcollege;C0.110;ma;17-19
van Bentem Lody;Project Numerical Recipes Practica 1;Practica;A1.06;do;13-15
Buth Abdl;Informatie- en organisatieontwerp Practica 2;Practica;A1.10;di;13-15
Buth Abdl;Informatie- en organisatieontwerp Hoorcollege 1;Hoorcollege;C0.110;do;13-15
Buth Abdl;Informatie- en organisatieontwerp Hoorcollege 2;Hoorcollege;A1.04;do;15-17
Buth Abdl;Architectuur en computerorganisatie Hoorcollege 1;Hoorcollege;A1.10;di;15-17
Buth Abdl;Informatie- en organisatieontwerp Werkcollege 2;Werkcollege;A1.08;vr;13-15
Buth Abdl;Architectuur en computerorganisatie Hoorcollege 2;Hoorcollege;A1.10;wo;9-11
Buurma Donn;Reflectie op de digitale cultuur Hoorcollege 2;Hoorcollege;C1.112;wo;15-17
Buurma Donn;Kansrekenen 2 Hoorcollege 2;Hoorcollege;C0.110;ma;15-17
Buurma Donn;Reflectie op de digitale cultuur Werkcollege 3;Werkcollege;C1.112;do;15-17
Buurma Donn;Reflectie op de digitale cultuur Hoorcollege 1;Hoorcollege;C0.110;ma;11-13
Buurma Donn;Kansrekenen 2 Hoorcollege 1;Hoorcollege;C0.110;ma;17-19
Poldervaart Gustaaf;Zoeken sturen en bewegen Practica 2;Practica;A1.04;vr;15-17
Poldervaart Gustaaf;Calculus 2 Werkcollege 1;Werkcollege;B0.201;vr;13-15
Poldervaart Gustaaf;Project Genetic Algorithms Practica 2;Practica;C0.110;do;15-17
Poldervaart Gustaaf;Calculus 2 Hoorcollege 1;Hoorcollege;C0.110;wo;13-15
van Berkom Ynte;Reflectie op de digitale cultuur Hoorcollege 2;Hoorcollege;C1.112;wo;15-17
van Berkom Ynte;Heuristieken 2 Werkcollege 1;Werkcollege;C0.110;vr;11-13
van Berkom Ynte;Reflectie op de digitale cultuur Werkcollege 3;Werkcollege;C1.112;do;15-17
van Berkom Ynte;Reflectie op de digitale cultuur Hoorcollege 1;Hoorcollege;C0.110;ma;11-13
van Berkom Ynte;Heuristieken 2 Hoorcollege 1;Hoorcollege;C1.112;di;15-17
Caris Lucienne;Technology for games Hoorcollege 2;Hoorcollege;B0.201;vr;11-13
Caris Lucienne;Algoritmen en complexiteit Practica 2;Practica;A1.06;wo;15-17
Caris Lucienne;Compilerbouw Practica 1;Practica;B0.201;do;13-15
Caris Lucienne;Algoritmen en complexiteit Hoorcollege 1;Hoorcollege;C1.112;di;13-15
Caris Lucienne;Technology for games Hoorcollege 1;Hoorcollege;C1.112;vr;9-11
Caris Lucienne;Technology for games Werkcollege 2;Werkcollege;A1.10;ma;11-13
Caris Lucienne;Compilerbouw Hoorcollege 2;Hoorcollege;C0.110;di;11-13
Caris Lucienne;Compilerbouw Werkcollege 2;Werkcollege;A1.10;di;9-11
Caris Lucienne;Algoritmen en complexiteit Werkcollege 1;Werkcollege;A1.08;do;15-17
Caris Lucienne;Compilerbouw Hoorcollege 1;Hoorcollege;C0.110;di;13-15
Polfliet Rafaela;Compilerbouw practicum Practica 3;Practica;A1.08;di;15-17
Polfliet Rafaela;Advanced Heuristics Hoorcollege 1;Hoorcollege;A1.08;do;11-13
Polfliet Rafaela;Netwerken en systeembeveiliging Practica 4;Practica;A1.08;wo;15-17
Polfliet Rafaela;Calculus 2 Werkcollege 3;Werkcollege;A1.04;ma;11-13
Polfliet Rafaela;Calculus 2 Hoorcollege 1;Hoorcollege;C0.110;wo;13-15
Polfliet Rafaela;Advanced Heuristics Practica 2;Practica;A1.10;vr;15-17
van Bezooijen Liedeke;Collectieve Intelligentie Practica 4;Practica;A1.04;do;11-13
van Bezooijen Liedeke;Collectieve Intelligentie Hoorcollege 2;Hoorcollege;A1.10;do;9-11
van Bezooijen Liedeke;Collectieve Intelligentie Hoorcollege 3;Hoorcollege;C1.112;vr;11-13
van Bezooijen Liedeke;Collectieve Intelligentie Hoorcollege 1;Hoorcollege;C1.112;vr;13-15
van Bezooijen Liedeke;Collectieve Intelligentie Werkcollege 2;Werkcollege;C1.112;wo;9-11
van Bezooijen Liedeke;Software engineering Werkcollege 2;Werkcollege;A1.04;di;13-15
van Bezooijen Liedeke;Software engineering Hoorcollege 1;Hoorcollege;C1.112;di;11-13
van Bezooijen Liedeke;Software engineering Practica 2;Practica;C1.112;di;9-11
etin Samyra;Bioinformatica Hoorcollege 3;Hoorcollege;C1.112;ma;9-11
etin Samyra;Reflectie op de digitale cultuur Hoorcollege 2;Hoorcollege;C1.112;wo;15-17
etin Samyra;Programmeren in Java 2 Practica 3;Practica;A1.04;di;11-13
etin Samyra;Bioinformatica Hoorcollege 1;Hoorcollege;C0.110;vr;13-15
etin Samyra;Bioinformatica Werkcollege 3;Werkcollege;A1.08;wo;13-15
